10,10
176
164
103
160
165
129
108
181
150
175
104
160
167
164
101
146
163
106
120
144
seller4,101,seller0,104,seller7,106,seller8,120,seller9,144,seller5,146,seller1,160,seller6,163,seller3,164,seller2,167
buyer7,181,buyer0,176,buyer9,175,buyer4,165,buyer1,164,buyer3,160,buyer8,150,buyer5,129,buyer6,108,buyer2,103
0,101,104,106,120,144,146,160,163,164,167
182,181,176,175,165,164,160,150,129,108,103,0
160,150,6,300
