4,4
330,225,210
280,235,220
260,240,215
305,235,230
190,235,250
140,245,260
210,230,255
165,235,240
seller1,140,seller3,165,seller0,190,seller2,210,seller2,230,seller0,235,seller3,235,seller3,240,seller1,245,seller0,250,seller2,255,seller1,260
buyer0,330,buyer3,305,buyer1,280,buyer2,260,buyer2,240,buyer1,235,buyer3,235,buyer3,230,buyer0,225,buyer1,220,buyer2,215,buyer0,210
0,140,165,190,210,230,235,235,240,245,250,255,260
331,330,305,280,260,240,235,235,230,225,220,215,210,0
235,235,7,480
